Day,Cash On Hand
11,1434130
12,4263199
13,1363952
14,2132191
15,3598352
16,4688894
17,8304545
18,9394309
19,9630391
20,8240930
21,12417693
22,15749644
23,15103927
24,16232488
25,18586080
26,18703370
27,19888042
28,19009568
29,19406762
30,21183888
31,22244547
32,23569503
33,30006796
34,36357653
35,37804577
36,38104300
37,39813337
38,40055171
39,41850633
40,44024963
41,45379305
42,47288357
43,48537096
44,53670427
45,60308938
46,64980213
47,65458534
48,67291127
49,68888946
50,69124632
51,70551911
52,78808483
53,85449469
54,88750614
55,89891896
56,91509291
57,92833893
58,93640277
59,95679486
60,97040243
61,95541265
62,97028812
63,102799668
64,104135643
65,111664394
66,111821062
67,113075833
68,115243073
69,114753296
70,122828387
71,132420295
72,137621868
73,139228162
74,140920445
75,141708382
76,144004626
77,145653692
78,146898125
79,148127790
80,146458306
81,147410094
82,147456625
83,150651634
84,157201138
85,162847545
86,163527136
87,166343658
88,166699886
89,167070412
90,167444986
